P20	kraj smrti
P22	oče
P25	mati
P27	država državljanstva
P31	primerek od
P39	uradni položaj
P40	otrok
P50	avtor
P106	poklic
P131	se nahaja v
P136	žanr
P138	poimenovano po
P140	vera
P150	administrativne podenote
P155	predhodnik
P156	naslednik
P172	etnična skupina
P276	kraj, lokacija
P279	podpomenka od
P361	je del
P463	član organizacije
P527	vsebuje
P607	bitka povezana s tem
P641	šport povezan s tem
P1001	spada pod upravo
P3373	sorojenec
P3450	sezona športne prireditve
P19	kraj rojstva
P17	država, kateri objekt pripada
P0	Prazna
ALL_ZERO	..
EMPTY	..
